MOF,LCD,LCD/PLD,PLD,density (cm3/g),Pore Volume (cm3/g),Porosity,Surface Area (m2/g), %C, %H, %O, %N,%Metal,O-to-M,MP,TDU,DU,H2O_Kh,FA_Kh,FA
AQUDAS_clean,9.38408,1.668441059,5.62446,1.03958,0.649493,0.675199933,1887.52,37.87878788,22.72727273,15.15151515,15.15151515,9.090909091,3.333333333,24,36,0.72,5.00E-06,1.12E-05,2.206309375
AQUDIB_clean,11.3608,1.077385135,10.54479,1.19943,0.549427,0.658999227,1315.3,44.44444444,11.11111111,33.33333333,0,11.11111111,6,25,64,0.888888889,4.71E-06,1.09E-05,3.538627914
ARAFEF_clean,8.89536,1.030968364,8.62816,0.837745,0.825789,0.691800606,2222.3,40,32,0,24,4,0,10,25,0.625,1.13E-05,3.01E-05,9.936997015
ARAFIJ_clean,7.45121,1.066335322,6.98768,0.945343,0.691601,0.653800164,1847.59,40,32,0,24,4,0,10,25,0.625,1.35E-05,3.88E-05,8.766318671
ARAFOP_clean,5.6675,1.123569889,5.04419,1.1688,0.487165,0.569398452,1151.25,40,32,0,24,4,0,10,25,0.625,1.66E-05,5.95E-05,3.376499105
ASINAT_clean,9.7655,1.262535828,7.73483,0.727417,0.927666,0.674800019,2562.17,52.63157895,33.91812865,7.01754386,4.678362573,1.754385965,8,3.333333333,123,0.683333333,1.25E-05,3.67E-05,7.003493784
ASINEX_clean,12.53569,1.724159321,7.27061,0.659976,1.06277,0.701402694,2801.34,52.63157895,33.91812865,7.01754386,4.678362573,1.754385965,8,3.333333333,977,0.678472222,1.01E-05,2.58E-05,5.403257699
ASINIB_clean,12.40052,1.716016683,7.22634,0.666065,1.07047,0.713002601,2773.85,52.63157895,33.91812865,7.01754386,4.678362573,1.754385965,8,3.333333333,977,0.678472222,1.03E-05,2.65E-05,6.306944563
ASIQEA_clean,8.85063,1.414453245,6.25728,0.902561,0.69048,0.623200319,1681.44,45.61403509,31.57894737,7.01754386,14.03508772,1.754385965,8,3.846153846,69,0.663461538,1.19E-05,2.66E-05,6.298689663
ASIQIE_clean,9.00205,1.439061626,6.2555,0.893575,0.688471,0.615200474,1697.06,45.61403509,31.57894737,7.01754386,14.03508772,1.754385965,8,3.846153846,69,0.663461538,1.16E-05,2.64E-05,6.662712391
ASIVAB_clean,12.32132,1.694670201,7.27063,0.538243,1.47703,0.795001058,4325.4,50.60240964,28.91566265,14.45783133,2.409638554,3.614457831,8,7.142857143,241,0.717261905,7.08E-06,1.53E-05,2.217342787
ATAFIK_clean,6.40025,1.122108711,5.70377,1.21508,0.526057,0.63920134,1722.65,45.45454545,9.090909091,36.36363636,0,9.090909091,8,20,73,0.9125,7.58E-06,2.24E-05,5.708308915
ATAYAX_clean,10.41989,1.780964671,5.8507,0.781859,0.91858,0.71820004,3072.5,50,22.72727273,18.18181818,2.272727273,4.545454545,8,9.090909091,103,0.78030303,1.29E-05,3.65E-05,7.27633276
ATAYEB_clean,10.54748,1.832979973,5.75428,0.825883,0.853389,0.704799467,2845.11,48.88888889,22.22222222,17.77777778,2.222222222,4.444444444,8,9.090909091,103,0.78030303,1.30E-05,3.70E-05,8.216355126
ATOWIQ_clean,9.54888,1.240931366,7.69493,0.866747,0.785928,0.681200736,2055.19,40.81632653,32.65306122,16.32653061,6.12244898,4.081632653,8,10,25,0.625,8.41E-06,2.12E-05,7.561098512
ATOWOW_clean,9.60606,1.241218107,7.73922,0.865497,0.787524,0.681599659,2052.45,40.81632653,32.65306122,16.32653061,6.12244898,4.081632653,8,10,25,0.625,7.91E-06,1.95E-05,7.919786544
AVAKAL_clean,26.25291,2.087686638,12.57512,0.207415,4.40181,0.913001421,6072.13,54.54545455,33.56643357,8.391608392,1.398601399,2.097902098,8,3.846153846,217,0.695512821,6.04E-06,9.07E-06,0.939741261
